area;nr_of_rooms;tier;parking;year_of_construction;district_id;price
47.230000;2;6;0;1981;9;255000.000000
33.220000;1;8;0;2015;8;225000.000000
65.220000;4;2;0;2015;2;371754.000000
96.000000;4;3;1;2002;15;630000.000000
58.000000;2;2;0;2001;10;440000.000000
33.000000;1;1;0;2015;4;338250.000000
36.000000;2;1;0;1980;11;260000.000000
36.050000;1;3;0;2015;8;179000.000000
65.000000;3;3;0;2008;3;383264.000000
40.000000;1;10;0;1970;1;249000.000000
69.000000;4;3;1;2008;3;425000.000000
32.000000;1;2;0;1997;1;235000.000000
31.000000;1;1;0;2001;10;198000.000000
31.000000;2;3;0;2003;17;228000.000000
100.000000;3;3;0;1997;1;1400000.000000
60.000000;2;4;1;2015;16;336000.000000
72.000000;3;3;0;1937;12;548000.000000
50.000000;2;2;0;2008;13;299000.000000
34.000000;2;3;0;1981;9;175000.000000
66.000000;4;3;1;2008;3;407000.000000
32.000000;2;3;1;2008;3;246240.000000
52.200000;3;9;0;1980;11;300000.000000
94.000000;4;2;0;2012;4;990000.000000
46.220000;2;3;0;1895;12;437000.000000
90.000000;4;0;0;2015;8;630000.000000
76.000000;3;3;1;1937;12;500000.000000
53.000000;2;1;0;2015;8;129000.000000
52.000000;2;4;0;1990;6;299000.000000
57.000000;2;4;0;2007;14;350000.000000
65.990000;3;6;0;2015;4;485027.000000
52.000000;2;2;0;2008;13;299000.000000
45.000000;3;1;0;2010;5;280000.000000
37.500000;1;0;0;1990;6;80000.000000
40.170000;2;3;0;1927;12;259000.000000
47.000000;2;7;0;1980;6;240000.000000
51.000000;3;4;0;1937;12;408000.000000
37.000000;2;2;0;1970;0;200000.000000
104.000000;4;3;1;1937;12;690000.000000
51.000000;2;8;0;1980;11;305000.000000
51.680000;3;0;0;1960;7;270000.000000
49.790000;2;5;0;2015;4;358488.000000
49.500000;2;4;0;1960;7;265000.000000
78.000000;3;3;1;2002;15;649000.000000
29.630000;1;6;0;2014;4;210000.000000
35.000000;2;0;0;2004;13;80000.000000
61.000000;3;4;1;2007;14;320000.000000
34.000000;1;2;0;1997;1;255000.000000
40.150000;1;0;0;1890;8;239000.000000
66.740000;3;2;0;1996;4;499000.000000
48.590000;2;5;0;2015;4;349848.000000
46.500000;2;10;0;1987;2;285000.000000
30.000000;1;1;0;2010;5;190000.000000
33.160000;2;9;0;2008;3;265280.000000
47.770000;3;2;0;2015;4;418000.000000
59.000000;3;3;0;2008;3;353220.000000
46.820000;3;1;0;2007;14;276775.000000
58.430000;2;2;0;1937;12;570000.000000
68.000000;3;3;0;2008;3;464000.000000
68.000000;4;8;0;1981;9;319000.000000
52.000000;2;2;0;1997;1;450000.000000
31.000000;2;3;0;1978;17;228000.000000
48.000000;2;3;1;2008;3;328609.000000
53.000000;2;2;0;1981;9;295000.000000
49.000000;2;3;0;2008;3;249000.000000
48.000000;3;8;0;1985;9;265000.000000
151.000000;5;4;1;2015;16;1250000.000000
64.890000;3;2;0;1997;1;560000.000000
117.000000;3;3;0;2015;4;870000.000000
66.000000;3;3;0;2008;3;435000.000000
42.000000;2;2;0;1970;0;225000.000000
48.500000;2;2;0;2015;5;475000.000000
35.200000;2;1;0;1980;1;275000.000000
100.000000;4;3;1;2008;3;799000.000000
56.200000;2;2;0;2001;10;358000.000000
26.000000;2;4;0;1970;4;199000.000000
58.200000;3;1;0;1980;11;299000.000000
31.000000;1;1;0;1960;7;179000.000000
33.150000;2;0;0;2016;8;172000.000000
44.950000;2;3;0;2015;4;332630.000000
46.000000;2;3;0;2015;4;320600.000000
44.600000;2;1;0;2008;13;243690.000000
89.000000;4;4;0;1970;5;519000.000000
50.000000;2;4;0;1983;14;259000.000000
25.820000;1;3;0;2016;10;144566.000000
53.440000;2;4;0;2003;10;295000.000000
38.580000;2;1;0;2015;5;285492.000000
75.180000;3;1;0;1997;1;499995.000000
50.450000;2;3;0;2015;4;348105.000000
45.000000;2;10;0;1970;0;199000.000000
46.000000;2;1;0;2015;4;381800.000000
57.200000;3;0;0;2015;5;526000.000000
103.000000;2;4;0;2010;12;1890000.000000
30.000000;2;3;1;1960;7;162000.000000
45.800000;2;4;0;1960;7;199000.000000
35.000000;2;2;1;2008;13;399000.000000
44.000000;3;2;0;1970;0;283648.000000
28.670000;1;2;0;1990;6;146790.000000
58.000000;2;3;1;2015;8;330000.000000
63.000000;3;3;1;2010;5;410000.000000
27.400000;1;8;0;1980;11;200000.000000
45.880000;3;2;0;2015;4;289999.000000
51.000000;2;4;0;2004;2;299000.000000
73.400000;3;3;0;2007;14;379000.000000
29.630000;1;1;0;2015;6;140743.000000
